timestamp,symbol,price
1643688000000,BTC,38591.08
1643720400000,BTC,38731.83
1643774400000,BTC,36839.21
1643806800000,BTC,36703.99
1643860800000,BTC,37330.9
1643893200000,BTC,37985.15
1643947200000,BTC,41487.51
1643979600000,BTC,41422.0
1644033600000,BTC,41485.0
1644066000000,BTC,41636.9
1644120000000,BTC,42863.79
1644152400000,BTC,42686.0
1644206400000,BTC,44229.63
1644238800000,BTC,43475.16
1644292800000,BTC,43380.73
1644325200000,BTC,44158.86
1644379200000,BTC,43819.66
1644411600000,BTC,44872.82
1644465600000,BTC,43372.17
1644498000000,BTC,43603.85
1644552000000,BTC,42329.09
1644584400000,BTC,42303.91
1644638400000,BTC,42254.29
1644670800000,BTC,42502.66
1644724800000,BTC,41939.74
1644757200000,BTC,42551.55
1644811200000,BTC,43599.82
1644843600000,BTC,44193.9
1644897600000,BTC,44014.68
1644930000000,BTC,44064.47
1644984000000,BTC,43619.61
1645016400000,BTC,43234.4
1645070400000,BTC,40725.83
1645102800000,BTC,40454.36
1645156800000,BTC,40164.68
1645189200000,BTC,39767.4
1645243200000,BTC,39821.46
1645275600000,BTC,38232.45
1645329600000,BTC,38956.63
1645362000000,BTC,37554.85
1645416000000,BTC,36591.46
1645448400000,BTC,37652.48
1645502400000,BTC,37784.06
1645534800000,BTC,39053.33
1645588800000,BTC,34941.84
1645621200000,BTC,35259.77
1645675200000,BTC,38961.51
1645707600000,BTC,39371.53
1645761600000,BTC,39434.49
1645794000000,BTC,39016.13
1645848000000,BTC,38631.68
1645880400000,BTC,39768.46
1645934400000,BTC,37815.02
1645966800000,BTC,38301.16
1646020800000,BTC,43174.08
1646053200000,BTC,44690.55
1646107200000,BTC,44346.16
1646139600000,BTC,44034.8
1646193600000,BTC,43331.62
1646226000000,BTC,43584.28
1646280000000,BTC,41449.63
1646312400000,BTC,41532.31
1646366400000,BTC,39083.02
1646398800000,BTC,39079.6
1646452800000,BTC,39290.05
1646485200000,BTC,38524.01
1646539200000,BTC,37885.04
1646571600000,BTC,38609.21
1646625600000,BTC,38685.62
1646658000000,BTC,38825.1
1646712000000,BTC,41230.39
1646744400000,BTC,41917.2
1646798400000,BTC,40790.0
1646830800000,BTC,39246.89
1646884800000,BTC,38724.13
1646917200000,BTC,39933.32
